"TASK","FOLDER","CONTEXT","GOAL","LOCATION","STARTDATE","STARTTIME","DUEDATE","DUETIME","REPEAT","LENGTH","TIMER","PRIORITY","TAG","STATUS","STAR","NOTE"
"Install Data Warehouse","Winnebago","@Home",,,,,"2018-02-16",,,,,"1",,"Waiting",,"1/17/2018 - Randy wants to install this so we can bill for it.
Mark Hatting"
"Security Kickoff","Winnebago","@Home",,,,,,,,,,"1",,,,
"Upgrade to CU13","Winnebago","@Home",,,"2018-01-29",,,,,,,"1",,"Waiting",,
"Set up Synology + Debian behind a pfSense and try doing reverse proxy","Networking",,,,,,,,,,,"-1",,,,
"Print my encryption keys on a piece of paper and store it somewhere (offsite) safe","Networking",,,,"2018-02-01",,,,,,,"-1",,,,
"Add to data refresh tool","MCA","@Home",,,,,,,,,,,,"Waiting",,"Emailed Ken McConnell a while back 2017

Add to data refresh routine
SQL DB permissions
Change document handling paths so they don't delete files


Requirement to be able to configure from public web site, and also dealer portal (certain certified products).  (Experlogix + DynamicWeb)
http://pwcxvw.axshare.com/#g=1&p=home"
"Users in VSTS drop downs (security)","Winnebago",,,,,,,,,,,,,"Waiting",,"Originally Paul O'Connor brought this to my attention.
12/2017 - Lane said this would be incorporated into a future release of VSTS.  He talked to Microsoft."
"Get & Install Vertex code","Winnebago","@Home",,,,,,,,,,,,"Waiting",,"8/8 - Santo agreed to email me the Vertex documentation
8/9 - Received Vertex documentation
8/15 - Seems like SOW had not been signed yet
8/28 - SOW not signed yet, discussions had not been had yet
9/14 - SOW not signed yet
9/18 - MCA are the developers of Vertex's connector
10/5 - SOW not signed yet
11/8 - SOW not signed yet
1/31/2018 - Lawyers are close"
"VantagePoint Upgrade","Winnebago","@Home",,,,,,,,,,,,"Waiting",,"12/2017 - they are fixing a bug in their scheduler client before it can be used"
"Dashboard: Create Fit/gap additional chart","Winnebago","@Home",,,,,,,,,,"1",,,,
"Update the customization process PPT based on feedback, send to group + Darren","Winnebago","@Home",,,,,"2018-02-09",,,,,"1",,,,
"Look at AT&T usage and adjust my cell plan accordingly","Actions","@Home",,,,,"2018-02-09",,,,,"-1",,,,
"Jesus' Gospel by Joshua Tilton","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books","Someday",,"We are excited to offer you Joshua Tilton's new electronic book ""Jesus' Gospel"". This 113 page e-book brings a new and fresh voice to the discussion of Jesus and his message while on this earth. This is an easy to read and understand book which will challenge, encourage and strengthen what you believe about Jesus' message."
"Jesus, Rabbi & Lord by Robert Lindsey","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books","Someday",,"Jerusalem Perspective: In this book, Lindsey gives the warm, personal account of how he and Professor Flusser struggled over many years to discover the earliest form of Jesus' words and narrative of his life. They believe that the records, when properly analyzed and studied, show us an authentic picture of Jesus interacting with the people of Jerusalem and Galilee. Jesus is a messianic figure who clearly leads a movement, the ""Kingdom of Heaven."""
"""New Light on the Difficult Words of Jesus"" by David Bivin","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books","Someday",,"Jerusalem Perspective: ""Reading this book will increase your love and respect for the man, Jesus, and summon your heart to walk after him in paths of discipleship. In this stimulating collection of writings, David Bivin will be your personal tour guide through the multi-hued Jewish landscape that frames the words of our Lord."""
"Download and install AX VM","AX Certification","@Work",,,,,,,,,,,,,,
"Read ""Joy, Inc."" By Richard Sheridan","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books","Someday",,"How to build productive workplaces"
"Fix LinkedIn at bottom of all pages","Create Personal Brand Web Site","@Home",,,,,,,,,,,,,,
"After projects are broken out, link from BI page to the respective projects","Create Personal Brand Web Site","@Home",,,,,,,,,,,,,,
"Add volunteering page: TLC+TLS (with metrics), Solid Grounds, Mexico mission trips","Create Personal Brand Web Site","@Home",,,,,,,,,,,,,,
"Recrop the main slide show images to be off center","Create Personal Brand Web Site","@Home",,,,,,,,,,,,,,
"Review Coach Wooden","Ticklers",,,,"2016-05-26",,,,,,,,,,,"http://www.coachwooden.com/pyramid_of_success#Pyramid"
"Read ""Team of Teams: New Rules of Engagement for a Complex World"" by General Stanley McChrystal and Tantum Collins","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books","Someday",,"books that will change your thoughts about running IT groups"
"Holacracy: The New Management System for a Rapidly Changing World by Brian J. Robertson","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books","Someday",,"books that will change your thoughts about running IT groups"
"Read ""The Open Organization: Igniting Passion and Performance""","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books","Someday",,"books that will change your thoughts about running IT groups"
"Technologies - find a very wide image","Create Personal Brand Web Site",,,,"2016-05-24",,,,,,,,,,,
"PM Page: create icon to jump to projects","Create Personal Brand Web Site",,,,"2016-05-24",,,,,,,,,,,
"Key Projects: turn each one into a separate page.  Main page shows picture, title, and short description","Create Personal Brand Web Site",,,,"2016-05-24",,,,,,,,,,,
"Key Projects: needs intro text so they know what they are seeing","Create Personal Brand Web Site",,,,"2016-05-24",,,,,,,,,,,
"Add download resume link on IT Director/Manager","Create Personal Brand Web Site",,,,"2016-05-24",,,,,,,,,,,
"Add download link for resume on IT project manager","Create Personal Brand Web Site",,,,"2016-05-24",,,,,,,,,,,
"Homepage layout needs to line up the quotes better (clear:both)","Create Personal Brand Web Site",,,,"2016-05-24",,,,,,,,,,,
"Create a success stories page w/quotes and numbers","Create Personal Brand Web Site",,,,"2016-05-24",,,,,,,,,,,
"Make it possible to click the pictures in order to get to PM / Mgr / Projects?","Create Personal Brand Web Site",,,,"2016-05-24",,,,,,,,,,,
"Order the slides on homepage by importance","Create Personal Brand Web Site",,,,"2016-05-24",,,,,,,,,,,
"Put my stories onto my web site under appropriate category","Create Personal Brand Web Site",,,,"2016-05-24",,,,,,,,,,,
"Rich Kaiser","Networking",,,,"2016-05-24",,,,,,,,,,,
"Lunch with Bert","Networking",,,,"2016-05-24",,,,,,,,,,,
"Email Jim Siercks  jsiercks@hotmail.com","Networking","@Home",,,,,,,,,,"1",,,,
"Identify highly-connected individuals with whom I should cultivate deeper relationships","Networking",,,,"2016-05-19",,,,,,,,,,,
"Change cover photo to include web site?  see notes","Create Personal Brand Web Site","@Home",,,"2016-05-18",,,,,,,,,,,"http://jeffzelaya.com/8-linkedin-cover-photo-examples-from-social-sellers/"
"Houston Open Data Portal","Ticklers",,,,,,,,,,,,,,,
"Reach out to Norbert D'Souza","Networking",,,,"2016-05-17",,,,,,,,,,,
"Check Agile Leadership Network for next event","Networking",,,,"2016-05-16",,,,,,,,,,,"http://alnhouston.org/"
"Henry Hancock","Networking","@Home",,,"2016-05-13",,,,,,,,,,,
"Email Sean Bowen","Networking","@Home",,,"2016-05-12",,,,,,,,,,,
"Read how to use Insightly with Power BI","Someday/Maybe/Wishes","@Home",,,"2016-05-11",,,,,,,,,,,"https://www.insightly.com/product-news/expand-your-insightly-reporting-options-with-power-bi/"
"Lawrence F. Hackney CPA LFH@lfhcpa.com","Networking","@Home",,,,,,,,,,"1",,,,
"Email Mark Holdsworth, Jr. mholdsworth@accudatasystems.com","Networking","@Home",,,,,,,,,,"1",,,,
"Email Jim Mahoney jjmahoney613@gmail.com","Networking","@Home",,,,,,,,,,,,,,
"Kendall Thompson","Networking","@Home",,,,,,,,,,,,,,
"Read ""The Elements of Style"" by William Strunk","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books","Someday",,"Recommended by a podcast as to how to communicate better."
"Read ""The $100 Start up""","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books","Someday",,
"Add logos as much as possible to Calafell.me","Create Personal Brand Web Site","@Home",,,"2016-04-28",,,,,,,"-1",,,,
"Write first blog entry (post on LinkedIn and Facebook also)","Create Personal Brand Web Site","@Home",,,"2016-04-28",,,,,,,"-1",,,,
"Highlight statistics and key words with HTML (bolder, larger, brighter...) on normal pages and work history","Create Personal Brand Web Site","@Home",,,"2016-04-28",,,,,,,"-1",,,,
"Watch ""The Young Messiah"" movie","Someday/Maybe/Wishes","@Home",,,,,,,,,,,,,,
"Should I cancel IDShield?","Actions","@Home",,,,,,,,,,,"Finances",,,
"Look up PMI events","Networking","@Home",,,,,,,,,,,,,,
"Read ""Crucial Conversations"" by Kerry Patterson","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books","Someday",,
"Read ""First, Break All The Rules"" by Marcus Buckingham","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books","Someday",,
"Read ""The Five Dysfunctions of a Team"" by Charles Stransky","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books","Someday",,
"Read ""Start with Why"" by Simon Sinek","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books","Someday",,
"Read ""The 7 Habits of Highly Effective People"" by Stephen R. Covey","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books","Someday",,
"Read ""Good to Great"" book","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books","Someday",,
"""Superforecasting: The Art and Science of Prediction""","Someday/Maybe/Wishes","@Home",,,,,,,,,,,,"Someday",,
"Read book about Fusion membership assimilation","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books,Church","Someday",,
"Read AX 2012 documents","Someday/Maybe/Wishes","@Home",,,,,,,,,,,,,,
"Listen to Zig Ziglar","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books","Someday",,"https://www.ziglar.com/product-category/cds"
"Write a recommendation on Amber's LinkedIn","Actions","@Home",,,,,,,,,,,,,,
"Read Pediatric First Aid and CPR","Actions","@Home",,,,,,,,,,"1",,,,
"Train all existing ushers, incorporate any additional feedback","Actions",,,,,,,,,,,"-1",,,,
"Build usher training document","Actions","@Home",,,,,,,,,,"-1",,,,
"Usher training","Actions","@Home",,,,,,,,,,,"Church","Waiting",,"Emailed Pastor Dorn on Feb 22."
"Hurricane Preparation","Ticklers","@Home",,,,,,,,,,,,,,
"LiveCoding.tv","Ticklers","@Home",,,,,,,,,,,,,,
"Watch conference videos from Chuck","Someday/Maybe/Wishes","@Home",,,,,,,,,,,,,,"https://www.youtube.com/playlist?list=PLnvmdr0iHiESvUBR_bEdVVCJBb-TddXJL"
"Willitfly.com/step1","Someday/Maybe/Wishes","@Home",,,,,,,,,,"1",,,,
"Test our home network with NetSpot Pro","Ticklers","@Home",,,,,,,,,,,"Home Improvement",,,
"Set up automatic payment on ring policy of Nationwide","Actions","@Home",,,,,,,,,,,"Finances",,,"Billing account 7855822950
Policy number 7842IMO49589
877-262-0247
$128 due every November"
"Start the P90x","Ticklers","@Home",,,,,,,,,,,,,,
"Make myself more attractive (Personal Improvement)","Create Personal Brand Web Site","@Home",,,,,,,,,,,,,,
"Emotional intelligence training","Someday/Maybe/Wishes","@Home",,,,,,,,,,,,,,
"Process all unprocessed photos of Jacob on iMac","Ticklers","@Home",,,,,,,,,,,,,,
"Six Sigma Measure","Actions","@Home",,,"2016-02-02",,,,,,,,,,,
"Six Sigma Define","Actions","@Home",,,"2016-02-01",,,,,"60","40",,,"Next Action",,
"Clean OneNote","Ticklers","@Home",,,,,,,,,,,,,,
"Schedule a guy's night?","Ticklers","@Home",,,"2016-02-01",,,,,,,,,,,
"Cancel Morningstar? Renews 12/13/2017","Actions","@Home",,,"2017-10-02",,"2018-02-09",,,,,"2","Finances",,,
"Set up lunch with Bill Aymond","Networking","@Home",,,"2016-01-20",,,,,,,,,"Waiting",,"832.247.9867"
"Set up get together with Anand","Ticklers","@Home",,,"2016-01-20",,,,,,,,,,,
"Sign up for Truth at Work?","Actions","@Home",,,,,,,,,,,,,,
"Cleanup Dashlane and change weak passwords","Ticklers","@Home",,,,,,,,,,,,,,
"Read ""In the Name of Jesus: Reflections on Christian Leadership"" by Henri Nouwen","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books","Someday",,
"3mee...do I do anything with this idea?","Someday/Maybe/Wishes","@Home",,,,,,,,,,,,,,
"Read TLC Operating Manual","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Church",,,
"Add Rachel's bracelet to jewelry policy","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Finances","Someday",,
"Watch ""Takedown"" movie","Someday/Maybe/Wishes","@Home",,,,,,,,,,,,"Someday",,
"Watch ""World's Worst Tenets""","Someday/Maybe/Wishes","@Home",,,,,,,,,,,,"Someday",,"Randy suggested it"
"Watch ""Cajun Justice""","Someday/Maybe/Wishes","@Home",,,,,,,,,,,,"Someday",,
"Review the possible training courses on AMA","Ticklers","@Home",,,,,,,,,,,,"Someday",,"http://www.amanet.org/"
"Read ""Beating The Street"" by Peter Lynch","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books","Someday",,"Lynch, the former manager of the Fidelity Magellan Fund, shares his experiences managing the fund, advocating an in-depth investigative approach to stock investing. Lynch is one of the great investors, and this book gives an inside look at his process.

http://www.forbes.com/sites/chrisbarth/2011/12/26/fill-your-e-reader-with-these-12-books-and-itll-pay-for-itself/2/"
"Read ""The Warren Buffetts Next Door: The World’s Greatest Investors You’ve Never Heard Of and What You Can Learn From Them""","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books","Someday",,"http://www.forbes.com/sites/chrisbarth/2011/12/26/fill-your-e-reader-with-these-12-books-and-itll-pay-for-itself/2/"
"Read ""The Big Short: Inside The Doomsday Machine"" by Michael Lewis","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books","Someday",,"http://www.forbes.com/sites/chrisbarth/2011/12/26/fill-your-e-reader-with-these-12-books-and-itll-pay-for-itself"
"Read ""Common Sense on Mutual Funds"" by John Bogle","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books","Someday",,"http://www.forbes.com/sites/chrisbarth/2011/12/26/fill-your-e-reader-with-these-12-books-and-itll-pay-for-itself/"
"Read ""The Essays of Warren Buffett: Lessons for Corporate America""","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books","Someday",,"http://www.forbes.com/sites/chrisbarth/2011/12/26/fill-your-e-reader-with-these-12-books-and-itll-pay-for-itself/"
"Read ""The Intelligent Investor"" by Benjamin Graham","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books","Someday",,"http://www.forbes.com/sites/chrisbarth/2011/12/26/fill-your-e-reader-with-these-12-books-and-itll-pay-for-itself/"
"Invest in church extension fund?","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Finances","Someday",,
"Watch ""Freedom Downtime"" movie","Someday/Maybe/Wishes","@Home",,,,,,,,,,,,"Someday",,
"Read book of Joshua - it is about a new leader","Actions","@Home",,,,,,,,,,,"Church","Someday",,
"Read ""Becoming a Salt and Light Leader"" book","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books,Church","Someday",,
"Read ""Boards that Make a Difference"" book","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books,Church","Someday",,
"Read ""Simple Church"" book","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books,Church","Someday",,
"Create digital picture frame","Someday/Maybe/Wishes","@Home",,,,,,,,,,,,"Someday",,
"Create a 509 savings account for our kids","Ticklers","@Home",,,,,,,,,,"1","Finances",,,
"Read management books","Ticklers","@Home",,,,,,,,,,,,"Someday",,"http://management.about.com/od/careerdevelopment/tp/TopMgtBooks.htm"
"Review Ph 98 to 102 of ITIL intro book","Someday/Maybe/Wishes","@Home",,,,,,,,,,,"Books","Someday",,
"Scan pictures from Grandma","Ticklers","@Home",,,,,,,,,,,,"Someday",,
